{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.6.2', 'IMP_VERSION': '2.6.2'}", 'STAT2HEADER_ENVIRON': '{\'SSH_ASKPASS\': \'/usr/libexec/openssh/gnome-ssh-askpass\', \'LOADEDMODULES\': \'sali-libraries-x86_64:imp/2.6.2\', \'GNOME_DESKTOP_SESSION_ID\': \'this-is-deprecated\', \'GJS_DEBUG_OUTPUT\': \'stderr\', \'WINDOWPATH\': \'2\', \'LESSOPEN\': \'||/usr/bin/lesspipe.sh %s\', \'XDG_SESSION_TYPE\': \'x11\', \'QT_IM_MODULE\': \'ibus\', \'LOGNAME\': \'peterc\', \'USER\': \'peterc\', \'PATH\': \'/salilab/diva1/home/imp/master/2.6.2/bin/release64:/usr/lib64/qt-3.3/bin:/usr/lib64/ccache:/usr/local/bin:/usr/local/sbin:/usr/bin:/usr/sbin:/usr/lib/EMAN/bin:/pico1/home/peterc/bin\', \'XDG_VTNR\': \'2\', \'QTDIR\': \'/usr/lib64/qt-3.3\', \'LD_LIBRARY_PATH\': \'/salilab/diva1/home/imp/master/2.6.2/lib/release64:/salilab/diva1/home/libs/x86_64\', \'LANG\': \'en_US.UTF-8\', \'QTLIB\': \'/usr/lib64/qt-3.3/lib\', \'TERM\': \'xterm-256color\', \'SHELL\': \'/bin/bash\', \'XAUTHORITY\': \'/run/user/11057/gdm/Xauthority\', \'SESSION_MANAGER\': \'local/unix:@/tmp/.ICE-unix/2226,unix/unix:/tmp/.ICE-unix/2226\', \'QTINC\': \'/usr/lib64/qt-3.3/include\', \'HISTSIZE\': \'1000\', \'WINDOWID\': \'25165830\', \'_LMFILES_\': \'/salilab/diva1/home/modules/sali-libraries-x86_64:/salilab/diva1/home/modules/imp/2.6.2\', \'XMODIFIERS\': \'@im=ibus\', \'HOME\': \'/pico1/home/peterc\', \'MODULESHOME\': \'/usr/share/Modules\', \'USERNAME\': \'peterc\', \'XDG_SESSION_DESKTOP\': \'gnome\', \'XDG_RUNTIME_DIR\': \'/run/user/11057\', \'CCACHE_HASHDIR\': \'\', \'PYTHONPATH\': \'/salilab/diva1/home/imp/master/2.6.2/lib/release64\', \'SSH_AUTH_SOCK\': \'/run/user/11057/keyring/ssh\', \'VTE_VERSION\': \'4205\', \'GDMSESSION\': \'gnome\', \'KRB5CCNAME\': \'DIR:/run/user/11057/krb5cc_hDgENf\', \'MAIL\': \'/var/spool/mail/peterc\', \'BASH_FUNC_module()\': \'() {  eval `/usr/bin/modulecmd bash $*`\\n}\', \'WISECONFIGDIR\': \'/usr/share/wise2/\', \'XDG_CURRENT_DESKTOP\': \'GNOME\', \'XDG_SESSION_ID\': \'1\', \'DBUS_SESSION_BUS_ADDRESS\': \'unix:abstract=/tmp/dbus-hHplAai3YV,guid=98fc85fbdc1555fb418aaae15768139d\', \'_\': \'/usr/bin/python\', \'MODULEPATH\': \'/etc/scl/modulefiles:/etc/scl/modulefiles:/salilab/diva1/home/modules:/usr/share/Modules/modulefiles:/etc/modulefiles:/usr/share/modulefiles\', \'DESKTOP_SESSION\': \'gnome\', \'BASH_FUNC_scl()\': \'() {  local CMD=$1;\\n if [ "$CMD" = "load" -o "$CMD" = "unload" ]; then\\n eval "module $@";\\n else\\n /usr/bin/scl "$@";\\n fi\\n}\', \'DISPLAY\': \':1\', \'OLDPWD\': \'/pico1/home/peterc/Documents/Proteasome_xlinks/Rpn1-UBLCP1/pmi_model\', \'HOSTNAME\': \'pico.ucsf.edu\', \'GDM_LANG\': \'en_US.UTF-8\', \'HISTCONTROL\': \'ignoredups\', \'SHLVL\': \'2\', \'PWD\': \'/pico1/home/peterc/Documents/Proteasome_xlinks/Rpn1-UBLCP1/pmi_model/website\', \'XDG_MENU_PREFIX\': \'gnome-\', \'LS_COLORS\': \'rs=0:di=38;5;33:ln=38;5;51:mh=00:pi=40;38;5;11:so=38;5;13:do=38;5;5:bd=48;5;232;38;5;11:cd=48;5;232;38;5;3:or=48;5;232;38;5;9:mi=01;05;37;41:su=48;5;196;38;5;15:sg=48;5;11;38;5;16:ca=48;5;196;38;5;226:tw=48;5;10;38;5;16:ow=48;5;10;38;5;21:st=48;5;21;38;5;15:ex=38;5;40:*.tar=38;5;9:*.tgz=38;5;9:*.arc=38;5;9:*.arj=38;5;9:*.taz=38;5;9:*.lha=38;5;9:*.lz4=38;5;9:*.lzh=38;5;9:*.lzma=38;5;9:*.tlz=38;5;9:*.txz=38;5;9:*.tzo=38;5;9:*.t7z=38;5;9:*.zip=38;5;9:*.z=38;5;9:*.Z=38;5;9:*.dz=38;5;9:*.gz=38;5;9:*.lrz=38;5;9:*.lz=38;5;9:*.lzo=38;5;9:*.xz=38;5;9:*.bz2=38;5;9:*.bz=38;5;9:*.tbz=38;5;9:*.tbz2=38;5;9:*.tz=38;5;9:*.deb=38;5;9:*.rpm=38;5;9:*.jar=38;5;9:*.war=38;5;9:*.ear=38;5;9:*.sar=38;5;9:*.rar=38;5;9:*.alz=38;5;9:*.ace=38;5;9:*.zoo=38;5;9:*.cpio=38;5;9:*.7z=38;5;9:*.rz=38;5;9:*.cab=38;5;9:*.jpg=38;5;13:*.jpeg=38;5;13:*.gif=38;5;13:*.bmp=38;5;13:*.pbm=38;5;13:*.pgm=38;5;13:*.ppm=38;5;13:*.tga=38;5;13:*.xbm=38;5;13:*.xpm=38;5;13:*.tif=38;5;13:*.tiff=38;5;13:*.png=38;5;13:*.svg=38;5;13:*.svgz=38;5;13:*.mng=38;5;13:*.pcx=38;5;13:*.mov=38;5;13:*.mpg=38;5;13:*.mpeg=38;5;13:*.m2v=38;5;13:*.mkv=38;5;13:*.webm=38;5;13:*.ogm=38;5;13:*.mp4=38;5;13:*.m4v=38;5;13:*.mp4v=38;5;13:*.vob=38;5;13:*.qt=38;5;13:*.nuv=38;5;13:*.wmv=38;5;13:*.asf=38;5;13:*.rm=38;5;13:*.rmvb=38;5;13:*.flc=38;5;13:*.avi=38;5;13:*.fli=38;5;13:*.flv=38;5;13:*.gl=38;5;13:*.dl=38;5;13:*.xcf=38;5;13:*.xwd=38;5;13:*.yuv=38;5;13:*.cgm=38;5;13:*.emf=38;5;13:*.ogv=38;5;13:*.ogx=38;5;13:*.aac=38;5;45:*.au=38;5;45:*.flac=38;5;45:*.m4a=38;5;45:*.mid=38;5;45:*.midi=38;5;45:*.mka=38;5;45:*.mp3=38;5;45:*.mpc=38;5;45:*.ogg=38;5;45:*.ra=38;5;45:*.wav=38;5;45:*.oga=38;5;45:*.opus=38;5;45:*.spx=38;5;45:*.xspf=38;5;45:\', \'GJS_DEBUG_TOPICS\': \'JS ERROR;JS LOG\', \'XDG_SEAT\': \'seat0\'}'} 
{0: '0', 1: '1.0', 2: 1461275865.2903721, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 1299961077.0331907, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1154180967.396928, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1025991286.8377569, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 908734905.6093866, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 802028095.0932215, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 697096653.9554019, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 605155683.6176418, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 523140595.09012973, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 452705847.7463157, 3: '0.0', 4: '1.0'} 
